epoch,train_loss,val_loss
1,0.11121333529372333,0.05432490055831348
2,0.05437291627053956,0.04949664473997355
3,0.047335279342703165,0.04100245850820167
4,0.04353263062317566,0.03959445877762319
5,0.03995262062143055,0.036813457957631975
6,0.03858527379984923,0.03679508444439427
7,0.03680803203940968,0.03601506462478452
8,0.036150290310358914,0.033557238914561104
9,0.0351350882322294,0.034493421254922725
10,0.0345825800000528,0.03195576362182439
11,0.03388625591194666,0.03134409053314654
12,0.032844908340447655,0.0301724634434062
13,0.03251290739824689,0.03120175380890111
14,0.031400971876146204,0.029586722447597538
15,0.03064525779000651,0.028356356138803156
16,0.02930497740356785,0.02727807065177181
17,0.026209633651319838,0.0201134970046039
18,0.020146917962602543,0.014230030915162355
19,0.016557389794062044,0.012191240437576141
20,0.014979123415228187,0.03427937846051338
21,0.01509263892333856,0.0120936166503195
22,0.01407096987742479,0.011636573371138784
23,0.013275096186850644,0.011612084115356188
24,0.014602835052172396,0.014166429022797631
25,0.013215092580645689,0.010991160149316809
26,0.013862774483769914,0.011376083514624234
27,0.013570736474113821,0.03180286629708894
28,0.027369799018477036,0.021978927379260566
29,0.020046983328624306,0.013947066931012803
30,0.014622902211693621,0.01354648889629507
