model,accuracy,macro_precision,macro_recall,macro_f1_score,weighted_precision,weighted_recall,weighted_f1_score
MLP,0.9928883765093636,0.986887866363138,0.7366669277965949,0.7746696240904747,0.9929379109125006,0.9928883765093636,0.9924628878834576
Weighted MLP,0.9168937305610616,0.5033742212530811,0.9618220547653846,0.5770499850202022,0.9590358675451066,0.9168937305610616,0.9328279892845952
Clipped Weighted MLP,0.9413123084839088,0.5902871916304684,0.948236023103172,0.6429820371559205,0.9681532174792472,0.9413123084839088,0.9516736784055628
