model,accuracy,macro_precision,macro_recall,macro_f1_score,weighted_precision,weighted_recall,weighted_f1_score
Random Forest,0.9988754369616994,0.984466913076948,0.922054492772062,0.9462942288512056,0.998865270973715,0.9988754369616994,0.99886664066563
Logistic Regression,0.7840821284654135,0.3776680516167567,0.8978361517267994,0.4223269295696661,0.9396488178708032,0.7840821284654135,0.8406055025268688
PyTorch MLP,0.9928883765093636,0.986887866363138,0.7366669277965949,0.7746696240904747,0.9929379109125006,0.9928883765093636,0.9924628878834576
PyTorch CNN,0.9965821063631524,0.9402139894572178,0.7334661471418014,0.769718579897727,0.9966024434349308,0.9965821063631524,0.996207565925795
