epoch,train_loss,val_loss
1,0.3060401376290469,0.1123194484798411
2,0.10909985798465997,0.0887082943178285
3,0.09732248100846068,0.07326810087719687
4,0.09394088036640165,0.07932459268950474
5,0.08361972703641554,0.0847970217781015
6,0.07494432610930078,0.07579559444840768
7,0.07209539657960772,0.06632578144526642
8,0.07002122759573139,0.07110484097820524
9,0.06698235988487238,0.06578356058586718
10,0.07234964627497122,0.07082153110769124
11,0.08462931944065882,0.06337212972599301
12,0.06899491849126574,0.07028745419542307
13,0.06322708754313468,0.05807147702377226
14,0.06354438078271463,0.06298969211865012
15,0.06480751217441987,0.062064864885640864
16,0.059491909912199666,0.08335776085775963
17,0.06487993069300317,0.07310003814231457
18,0.057754342544858506,0.0616053422962333
