model,accuracy,precision,recall,f1_score
Random Forest,0.9990699368582608,0.9966823582156468,0.9985985212602528,0.9976395196467356
Logistic Regression,0.9161952991143182,0.7128839505185955,0.9614144154665756,0.8187034288599538
PyTorch MLP,0.990766559455966,0.992095961704378,0.960740627610928,0.9761665693004236
PyTorch CNN,0.9701937749424016,0.9245810558112774,0.9239248591783382,0.924252841023982
