epoch,train_loss,val_loss
1,0.386517782512161,0.16401791199595503
2,0.17124514130683463,0.11951493707079108
3,0.13639125087924767,0.10103430755728192
4,0.12087745662506996,0.08876942178047527
5,0.11147571253743688,0.09029281671727958
6,0.10144042416616118,0.09208203529147241
7,0.09953607816397343,0.0798312574721844
8,0.09869933915164224,0.08469832019604905
9,0.09733828266241706,0.07969865762330466
10,0.09041882975963972,0.07571661660632803
11,0.09477360359763458,0.08160421561243214
12,0.09239605075632601,0.07731583405242319
13,0.09190720288556832,0.07657316035034353
14,0.08570233014077927,0.07678357259325476
15,0.0862371369552562,0.08070410528907174
