true_label,predicted_label,error_type,count
BENIGN,Bot,BENIGN -> Bot,9296
BENIGN,PortScan,BENIGN -> PortScan,6570
BENIGN,DoS,BENIGN -> DoS,4135
BENIGN,WebAttack,BENIGN -> WebAttack,1930
BENIGN,DDoS,BENIGN -> DDoS,1280
BENIGN,BruteForce,BENIGN -> BruteForce,1058
BENIGN,Infiltration,BENIGN -> Infiltration,245
BENIGN,Heartbleed,BENIGN -> Heartbleed,8
