epoch,train_loss,val_loss
1,0.592935797156819,0.21387302161403138
2,0.23959380028356903,0.1561320232163246
3,0.17996169932810696,0.13355447368360485
4,0.15927028160907164,0.13442903796096922
5,0.1732099125117735,0.13551690046313347
6,0.1399158445724224,0.1257267299871545
7,0.13530118873430774,0.13441890416456848
8,0.1386320151199903,0.13092928461969885
9,0.12479078824207732,0.14040760755026208
10,0.148882836805383,0.14069722559474127
11,0.13068601544215913,0.1050059318786331
12,0.13352137856549526,0.13784608699727793
13,0.1226939913203806,0.1233639030511128
14,0.12754080373442164,0.10665313464577919
15,0.13137481754275365,0.11190178153868673
16,0.13386578092085838,0.10035525841876146
17,0.1339973308335055,0.13333898521401039
18,0.1380881408850824,0.11846271092843919
19,0.14762688705936503,0.16590951654194966
20,0.5213611764498323,0.23868380841786727
21,0.18489370150034942,0.16511368191924605
