model,accuracy,macro_precision,macro_recall,macro_f1_score,weighted_precision,weighted_recall,weighted_f1_score
CNN,0.9965821063631524,0.9402139894572178,0.7334661471418014,0.769718579897727,0.9966024434349308,0.9965821063631524,0.996207565925795
Weighted CNN,0.8969238957268373,0.4223414806328323,0.955967521037304,0.4800117037102647,0.953855223857108,0.8969238957268373,0.9180493347165118
Clipped Weighted CNN,0.956225146007536,0.5382745541385408,0.971859099371078,0.5987769329219924,0.978507380167628,0.956225146007536,0.9655254754136944
