epoch,train_loss,val_loss
1,0.1499856346681861,0.06293508111053561
2,0.0665806686625993,0.0526125982179007
3,0.05710201465709817,0.048548670202729086
4,0.05282060560375007,0.04412304333177471
5,0.04964744727942707,0.04292552316151161
6,0.047318968801975225,0.03933877192645501
7,0.04526296831375611,0.03663830957699732
8,0.04249761973203713,0.032621667557485225
9,0.03796163946520451,0.027885206541663973
10,0.0331666070930762,0.02403515852419984
11,0.03611116740497197,0.025678669499179244
12,0.03427305300090015,0.026696893270936956
13,0.0342372902514923,0.02603485948976054
14,0.032321899062761464,0.02209714187237998
15,0.031985656360912766,0.02037678609911384
16,0.03263243960201073,0.026225387071326305
17,0.0356037278448867,0.02779396259911821
18,0.03793477505497304,0.032774125573762844
19,0.039403201749734613,0.02880766206589828
20,0.03734878216528462,0.027981606770093852
